Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20127030,NT,2,2012,Saturday,11:02,Single,No,No,No,100,Driver,Male,19,No,No,17_to_25,Weekend,Day
20102152,Vic,8,2010,Sunday,18:30,Single,No,No,No,70,Driver,Male,25,No,No,17_to_25,Weekend,Night
20052279,Vic,10,2005,Monday,15:35,Multiple,No,No,Yes,100,Motorcycle rider,Male,58,No,No,40_to_64,Weekday,Day
20191130,NSW,5,2019,Sunday,8:35,Multiple,No,No,No,100,Driver,Male,64,No,No,40_to_64,Weekend,Day
20075067,WA,5,2007,Saturday,9:45,Single,No,No,No,60,Driver,Male,26,No,No,26_to_39,Weekend,Day
20103088,Qld,12,2010,Monday,14:00,Multiple,No,No,No,100,Passenger,Female,18,Yes,No,17_to_25,Weekday,Day
20156022,Tas,7,2015,Saturday,1:00,Single,No,Yes,No,100,Driver,Male,32,No,No,26_to_39,Weekend,Night
20141065,NSW,9,2014,Friday,19:25,Multiple,No,No,Yes,110,Driver,Male,47,No,No,40_to_64,Weekend,Night
20212119,Vic,3,2021,Saturday,10:23,Multiple,No,No,No,60,Passenger,Female,81,No,No,75_or_older,Weekend,Day
20033117,Qld,2,2003,Monday,1:00,Single,No,No,No,100,Driver,Male,24,No,No,17_to_25,Weekend,Night
20101355,NSW,8,2010,Friday,15:15,Multiple,No,No,No,80,Driver,Male,29,No,No,26_to_39,Weekday,Day
20094082,SA,4,2009,Sunday,3:00,Single,No,No,No,80,Driver,Female,47,No,No,40_to_64,Weekend,Night
20101266,NSW,11,2010,Saturday,18:30,Multiple,No,No,No,60,Passenger,Female,56,No,No,40_to_64,Weekend,Night
20151140,NSW,9,2015,Saturday,15:30,Multiple,No,No,No,100,Passenger,Female,70,No,No,65_to_74,Weekend,Day
20032050,Vic,7,2003,Thursday,12:40,Single,No,No,No,70,Driver,Male,19,No,No,17_to_25,Weekday,Day
20191291,NSW,12,2019,Sunday,22:57,Single,No,No,No,90,Driver,Female,36,No,No,26_to_39,Weekend,Night
20213069,Qld,7,2021,Saturday,23:00,Single,No,No,No,50,Pedestrian,Male,24,No,No,17_to_25,Weekend,Night
20163092,Qld,7,2016,Sunday,7:00,Single,No,No,No,100,Driver,Male,78,No,No,75_or_older,Weekend,Day
20031047,NSW,5,2003,Friday,16:40,Multiple,No,No,No,60,Driver,Male,31,No,No,26_to_39,Weekday,Day
20191162,NSW,12,2019,Tuesday,15:00,Multiple,No,No,No,100,Driver,Male,25,No,No,17_to_25,Weekday,Day
19922036,Vic,2,1992,Wednesday,22:05,Single,No,No,No,100,Motorcycle rider,Male,29,No,No,26_to_39,Weekday,Night
20172024,Vic,6,2017,Sunday,17:30,Multiple,No,No,No,80,Pedestrian,Male,30,No,No,26_to_39,Weekend,Day
20203159,Qld,6,2020,Sunday,13:00,Multiple,No,No,No,70,Motorcycle rider,Male,25,No,No,17_to_25,Weekend,Day
20041439,NSW,7,2004,Friday,9:15,Single,No,No,No,90,Driver,Male,81,No,No,75_or_older,Weekday,Day
20205120,WA,5,2020,Tuesday,7:15,Single,No,No,No,110,Driver,Male,35,No,No,26_to_39,Weekday,Day
19902345,Vic,2,1990,Friday,15:25,Multiple,No,No,No,100,Driver,Male,55,No,No,40_to_64,Weekday,Day
20143089,Qld,6,2014,Thursday,21:00,Single,No,No,No,80,Motorcycle rider,Male,28,No,No,26_to_39,Weekday,Night
20053128,Qld,4,2005,Wednesday,11:00,Single,No,No,No,100,Driver,Male,79,No,No,75_or_older,Weekday,Day
20023193,Qld,3,2002,Thursday,19:00,Single,No,No,No,60,Driver,Male,18,No,No,17_to_25,Weekday,Night
19892535,Vic,12,1989,Wednesday,13:00,Multiple,No,No,No,60,Motorcycle rider,Male,41,No,No,40_to_64,Weekday,Day
20191035,NSW,7,2019,Wednesday,22:30,Single,No,No,No,50,Pedal cyclist,Male,51,No,No,40_to_64,Weekday,Night
20023268,Qld,11,2002,Sunday,15:00,Multiple,No,No,No,100,Motorcycle pillion passenger,Female,44,No,No,40_to_64,Weekend,Day
20095141,WA,4,2009,Friday,7:10,Single,No,No,No,60,Driver,Male,39,No,No,26_to_39,Weekday,Day
19932372,Vic,2,1993,Wednesday,17:30,Multiple,No,No,No,75,Motorcycle rider,Male,28,No,No,26_to_39,Weekday,Day
20114013,SA,9,2011,Thursday,6:30,Multiple,No,Yes,No,60,Passenger,Male,56,No,No,40_to_64,Weekday,Day
